"Light Intensity (% of scale max) Run #1","Relative Intensity Run #1","Voltage (V) Run #1"
0.08774,0.08774,-0.845
0.08755,0.08755,-0.845
0.08807,0.08807,-0.845
0.08823,0.08823,-0.845
0.08826,0.08826,-0.848
0.08850,0.08850,-0.848
0.08885,0.08885,-0.848
0.08829,0.08829,-0.849
0.08730,0.08730,-0.849
0.08449,0.08449,-0.849
0.08362,0.08362,-0.849
0.08475,0.08475,-0.848
0.08368,0.08368,-0.850
0.08249,0.08249,-0.850
0.08147,0.08147,-0.850
0.07791,0.07791,-0.851
0.07051,0.07051,-0.851
0.06665,0.06665,-0.851
0.06953,0.06953,-0.851
0.06593,0.06593,-0.850
0.06404,0.06404,-0.850
0.06511,0.06511,-0.850
0.06084,0.06084,-0.851
0.05083,0.05083,-0.852
0.04555,0.04555,-0.853
0.04300,0.04300,-0.855
0.03760,0.03760,-0.855
0.03619,0.03619,-0.855
0.03128,0.03128,-0.855
0.02992,0.02992,-0.855
0.02902,0.02902,-0.855
0.02873,0.02873,-0.855
0.02869,0.02869,-0.857
0.02888,0.02888,-0.860
0.02914,0.02914,-0.860
0.03075,0.03075,-0.860
0.03534,0.03534,-0.860
0.04213,0.04213,-0.860
0.05016,0.05016,-0.860
0.05453,0.05453,-0.860
0.06456,0.06456,-0.862
0.08182,0.08182,-0.865
0.08910,0.08910,-0.865
0.09108,0.09108,-0.865
0.09348,0.09348,-0.865
0.09378,0.09378,-0.865
0.09703,0.09703,-0.867
0.09676,0.09676,-0.868
0.11620,0.11620,-0.868
0.11699,0.11699,-0.868
0.11899,0.11899,-0.869
0.11707,0.11707,-0.869
0.11356,0.11356,-0.869
0.11305,0.11305,-0.869
0.10580,0.10580,-0.872
0.11133,0.11133,-0.874
0.11021,0.11021,-0.874
0.10269,0.10269,-0.874
0.08942,0.08942,-0.874
0.07182,0.07182,-0.877
0.06757,0.06757,-0.878
0.06317,0.06317,-0.877
0.05521,0.05521,-0.877
0.04483,0.04483,-0.878
0.03668,0.03668,-0.878
0.03140,0.03140,-0.878
0.02896,0.02896,-0.882
0.02597,0.02597,-0.881
0.02612,0.02612,-0.883
0.02649,0.02649,-0.882
0.02898,0.02898,-0.884
0.03365,0.03365,-0.886
0.03683,0.03683,-0.886
0.03868,0.03868,-0.886
0.04488,0.04488,-0.886
0.04549,0.04549,-0.886
0.04881,0.04881,-0.890
0.05338,0.05338,-0.890
0.05864,0.05864,-0.891
0.06036,0.06036,-0.891
0.06125,0.06125,-0.891
0.06084,0.06084,-0.893
0.06090,0.06090,-0.896
0.06183,0.06183,-0.896
0.06300,0.06300,-0.896
0.06328,0.06328,-0.896
0.06848,0.06848,-0.896
0.06892,0.06892,-0.896
0.06888,0.06888,-0.896
0.06946,0.06946,-0.896
0.06898,0.06898,-0.896
0.07039,0.07039,-0.896
0.07112,0.07112,-0.896
0.07089,0.07089,-0.897
0.07118,0.07118,-0.897
0.07022,0.07022,-0.897
0.06932,0.06932,-0.899
0.06970,0.06970,-0.900
0.06949,0.06949,-0.900
0.06953,0.06953,-0.901
0.06906,0.06906,-0.900
0.06779,0.06779,-0.901
0.06181,0.06181,-0.900
0.05867,0.05867,-0.900
0.05611,0.05611,-0.900
0.05551,0.05551,-0.901
0.05579,0.05579,-0.902
0.05565,0.05565,-0.904
0.05347,0.05347,-0.904
0.05307,0.05307,-0.904
0.04553,0.04553,-0.904
0.04498,0.04498,-0.904
0.04541,0.04541,-0.904
0.04541,0.04541,-0.903
0.04485,0.04485,-0.904
0.04378,0.04378,-0.904
0.04480,0.04480,-0.907
0.03691,0.03691,-0.908
0.03339,0.03339,-0.908
0.03185,0.03185,-0.908
0.03148,0.03148,-0.909
0.02986,0.02986,-0.908
0.02823,0.02823,-0.908
0.02769,0.02769,-0.908
0.02789,0.02789,-0.908
0.02745,0.02745,-0.908
0.02782,0.02782,-0.908
0.02742,0.02742,-0.912
0.02704,0.02704,-0.912
0.02760,0.02760,-0.912
0.02686,0.02686,-0.912
0.02747,0.02747,-0.912
0.02786,0.02786,-0.912
0.02705,0.02705,-0.912
0.02731,0.02731,-0.913
0.02689,0.02689,-0.913
0.02705,0.02705,-0.913
0.02718,0.02718,-0.913
0.02791,0.02791,-0.913
0.02831,0.02831,-0.911
0.03214,0.03214,-0.912
0.03265,0.03265,-0.912
0.03372,0.03372,-0.912
0.03644,0.03644,-0.914
0.03661,0.03661,-0.917
0.03807,0.03807,-0.918
0.04025,0.04025,-0.917
0.04283,0.04283,-0.917
0.04495,0.04495,-0.917
0.04573,0.04573,-0.917
0.04575,0.04575,-0.917
0.04591,0.04591,-0.919
0.04582,0.04582,-0.921
0.04601,0.04601,-0.922
0.04572,0.04572,-0.922
0.04553,0.04553,-0.922
0.04570,0.04570,-0.922
0.04590,0.04590,-0.922
0.04570,0.04570,-0.923
0.04601,0.04601,-0.923
0.04620,0.04620,-0.923
0.04591,0.04591,-0.923
0.04584,0.04584,-0.924
0.04588,0.04588,-0.923
0.04588,0.04588,-0.923
0.04630,0.04630,-0.922
0.04605,0.04605,-0.923
0.04628,0.04628,-0.923
0.04558,0.04558,-0.923
0.04501,0.04501,-0.922
0.04517,0.04517,-0.922
0.04445,0.04445,-0.923
0.03886,0.03886,-0.926
0.03876,0.03876,-0.926
0.03798,0.03798,-0.927
0.03844,0.03844,-0.927
0.03809,0.03809,-0.927
0.03696,0.03696,-0.927
0.03699,0.03699,-0.927
0.03627,0.03627,-0.930
0.03461,0.03461,-0.930
0.03285,0.03285,-0.931
0.03336,0.03336,-0.932
0.03239,0.03239,-0.932
0.03032,0.03032,-0.932
0.03032,0.03032,-0.931
0.02969,0.02969,-0.931
0.02989,0.02989,-0.931
0.02931,0.02931,-0.931
0.02870,0.02870,-0.930
0.02899,0.02899,-0.931
0.02812,0.02812,-0.931
0.02711,0.02711,-0.932
0.02687,0.02687,-0.933
0.02695,0.02695,-0.934
0.02663,0.02663,-0.936
0.02687,0.02687,-0.936
0.02672,0.02672,-0.936
0.02715,0.02715,-0.936
0.02783,0.02783,-0.936
0.02785,0.02785,-0.936
0.02872,0.02872,-0.936
0.02852,0.02852,-0.938
0.02901,0.02901,-0.940
0.02866,0.02866,-0.940
0.02917,0.02917,-0.940
0.02916,0.02916,-0.940
0.02931,0.02931,-0.941
0.02948,0.02948,-0.944
0.02994,0.02994,-0.944
0.03018,0.03018,-0.944
0.03032,0.03032,-0.944
0.03024,0.03024,-0.944
0.03021,0.03021,-0.943
0.03023,0.03023,-0.944
0.03038,0.03038,-0.945
0.03033,0.03033,-0.948
0.03047,0.03047,-0.949
0.03082,0.03082,-0.948
0.03134,0.03134,-0.948
0.03220,0.03220,-0.948
0.03217,0.03217,-0.949
0.03290,0.03290,-0.949
0.03426,0.03426,-0.949
0.03456,0.03456,-0.948
0.03423,0.03423,-0.948
0.03442,0.03442,-0.948
0.03429,0.03429,-0.953
0.03429,0.03429,-0.953
0.03485,0.03485,-0.952
0.03535,0.03535,-0.953
0.03674,0.03674,-0.953
0.03696,0.03696,-0.954
0.03709,0.03709,-0.954
0.03705,0.03705,-0.954
0.03717,0.03717,-0.954
0.03723,0.03723,-0.955
0.03664,0.03664,-0.958
0.03673,0.03673,-0.958
0.03651,0.03651,-0.958
0.03612,0.03612,-0.957
0.03609,0.03609,-0.957
0.03622,0.03622,-0.958
0.03491,0.03491,-0.958
0.03477,0.03477,-0.960
0.03442,0.03442,-0.962
0.03479,0.03479,-0.962
0.03418,0.03418,-0.962
0.03287,0.03287,-0.962
0.03271,0.03271,-0.962
0.03273,0.03273,-0.962
0.03238,0.03238,-0.962
0.03206,0.03206,-0.962
0.03210,0.03210,-0.962
0.03267,0.03267,-0.962
0.03264,0.03264,-0.962
0.03267,0.03267,-0.964
0.03354,0.03354,-0.966
0.03493,0.03493,-0.966
0.03735,0.03735,-0.966
0.03917,0.03917,-0.966
0.04002,0.04002,-0.966
0.04208,0.04208,-0.966
0.05159,0.05159,-0.966
0.05717,0.05717,-0.966
0.05804,0.05804,-0.966
0.06047,0.06047,-0.966
0.06250,0.06250,-0.968
0.08328,0.08328,-0.970
0.09000,0.09000,-0.970
0.09471,0.09471,-0.971
0.09764,0.09764,-0.970
0.12361,0.12361,-0.970
0.11261,0.11261,-0.970
0.12468,0.12468,-0.970
0.11456,0.11456,-0.970
0.11928,0.11928,-0.974
0.13593,0.13593,-0.975
0.14970,0.14970,-0.975
0.14893,0.14893,-0.974
0.16548,0.16548,-0.974
0.18019,0.18019,-0.975
0.17924,0.17924,-0.976
0.17874,0.17874,-0.974
0.18602,0.18602,-0.974
0.17850,0.17850,-0.975
0.17873,0.17873,-0.975
0.18782,0.18782,-0.977
0.17911,0.17911,-0.978
0.18666,0.18666,-0.978
0.18948,0.18948,-0.978
0.19806,0.19806,-0.978
0.19952,0.19952,-0.978
0.19611,0.19611,-0.979
0.19409,0.19409,-0.979
0.18892,0.18892,-0.979
0.18655,0.18655,-0.979
0.19023,0.19023,-0.979
0.18066,0.18066,-0.980
0.17625,0.17625,-0.983
0.16925,0.16925,-0.984
