"Light Intensity (% of scale max) Run #8","Relative Intensity Run #8","Voltage (V) Run #8"
0.02422,0.02422,0.740
0.02409,0.02409,0.738
0.02357,0.02357,0.737
0.02397,0.02397,0.737
0.02403,0.02403,0.737
0.02394,0.02394,0.734
0.02400,0.02400,0.733
0.02391,0.02391,0.732
0.02429,0.02429,0.729
0.02417,0.02417,0.729
0.02426,0.02426,0.725
0.02423,0.02423,0.725
0.02411,0.02411,0.724
0.02409,0.02409,0.721
0.02400,0.02400,0.720
0.02403,0.02403,0.720
0.02415,0.02415,0.716
0.02434,0.02434,0.716
0.02394,0.02394,0.713
0.02396,0.02396,0.711
0.02405,0.02405,0.710
0.02377,0.02377,0.706
0.02400,0.02400,0.706
0.02400,0.02400,0.702
0.02399,0.02399,0.702
0.02385,0.02385,0.700
0.02419,0.02419,0.697
0.02411,0.02411,0.697
0.02359,0.02359,0.697
0.02374,0.02374,0.694
0.02382,0.02382,0.693
0.02412,0.02412,0.692
0.02412,0.02412,0.689
0.02426,0.02426,0.688
0.02473,0.02473,0.687
0.02443,0.02443,0.685
0.02444,0.02444,0.685
0.02437,0.02437,0.684
0.02484,0.02484,0.681
0.02510,0.02510,0.679
0.02524,0.02524,0.677
0.02527,0.02527,0.674
0.02498,0.02498,0.674
0.02495,0.02495,0.672
0.02490,0.02490,0.671
0.02515,0.02515,0.670
0.02475,0.02475,0.667
0.02490,0.02490,0.666
0.02525,0.02525,0.667
0.02518,0.02518,0.662
0.02551,0.02551,0.662
0.02522,0.02522,0.662
0.02495,0.02495,0.661
0.02512,0.02512,0.659
0.02489,0.02489,0.658
0.02473,0.02473,0.657
0.02463,0.02463,0.656
0.02464,0.02464,0.652
0.02441,0.02441,0.651
0.02408,0.02408,0.650
0.02417,0.02417,0.646
0.02414,0.02414,0.646
0.02385,0.02385,0.644
0.02390,0.02390,0.642
0.02385,0.02385,0.642
0.02379,0.02379,0.641
0.02403,0.02403,0.638
0.02399,0.02399,0.638
0.02426,0.02426,0.638
0.02438,0.02438,0.636
0.02440,0.02440,0.634
0.02419,0.02419,0.635
0.02461,0.02461,0.634
0.02437,0.02437,0.630
0.02428,0.02428,0.629
0.02423,0.02423,0.629
0.02451,0.02451,0.627
0.02466,0.02466,0.624
0.02449,0.02449,0.623
0.02466,0.02466,0.623
0.02467,0.02467,0.623
0.02483,0.02483,0.620
0.02489,0.02489,0.618
0.02536,0.02536,0.619
0.02553,0.02553,0.618
0.02524,0.02524,0.618
0.02547,0.02547,0.618
0.02563,0.02563,0.618
