"Voltage (V) Run #1","Light Intensity (% of scale max) Run #1","Relative Intensity Run #1"
3.227,0.0,0.05
3.227,0.0,0.05
3.225,0.0,0.05
3.222,0.0,0.05
3.222,0.0,0.05
3.222,0.0,0.05
3.222,0.0,0.05
3.222,0.0,0.05
3.219,0.0,0.04
3.219,0.0,0.05
3.219,0.0,0.05
3.219,0.0,0.05
3.218,0.0,0.05
3.217,0.0,0.05
3.215,0.0,0.05
3.214,0.0,0.05
3.215,0.0,0.05
3.214,0.0,0.05
3.214,0.0,0.05
3.215,0.0,0.05
3.215,0.0,0.05
3.215,0.0,0.05
3.215,0.0,0.05
3.214,0.0,0.05
3.213,0.0,0.05
3.213,0.0,0.05
3.213,0.0,0.05
3.213,0.0,0.05
3.212,0.0,0.05
3.212,0.0,0.05
3.212,0.0,0.05
3.212,0.0,0.05
3.212,0.0,0.05
3.212,0.0,0.05
3.212,0.0,0.05
3.212,0.0,0.05
3.213,0.0,0.05
3.212,0.0,0.05
3.212,0.0,0.05
3.213,0.0,0.05
3.213,0.0,0.05
3.213,0.0,0.05
3.209,0.0,0.05
3.208,0.0,0.05
3.208,0.0,0.05
3.209,0.0,0.05
3.208,0.0,0.05
3.206,0.0,0.05
3.206,0.0,0.05
3.206,0.0,0.05
3.205,0.0,0.04
3.205,0.0,0.05
3.205,0.0,0.05
3.206,0.0,0.05
3.206,0.0,0.05
3.205,0.0,0.05
3.206,0.0,0.05
3.206,0.0,0.05
3.206,0.0,0.05
3.206,0.0,0.05
3.206,0.0,0.05
3.206,0.0,0.05
3.205,0.0,0.05
3.206,0.0,0.05
3.206,0.0,0.05
3.205,0.0,0.04
3.204,0.0,0.05
3.202,0.0,0.05
3.201,0.0,0.05
3.201,0.0,0.05
3.198,0.0,0.05
3.197,0.0,0.05
3.196,0.0,0.05
3.193,0.0,0.05
3.193,0.0,0.05
3.192,0.0,0.05
